customer_id,account_number,salary_day,salary_amount,has_rent,rent_amount,has_emi,emi_amount,avg_monthly_utilities
1,00120000001,7,96110,0,0,1,12064,2794
2,00120000002,20,128606,1,13796,0,0,2466
3,00120000003,15,29650,0,0,0,0,3541
4,00120000004,11,192190,0,0,1,4863,4923
5,00120000005,8,43930,1,5002,0,0,3516
6,00120000006,21,115400,1,17589,0,0,1321
7,00120000007,7,26801,0,0,0,0,1722
8,00120000008,26,66360,0,0,0,0,4830
9,00120000009,19,102908,1,34465,0,0,3455
10,00120000010,23,162631,1,16922,1,9905,2004
11,00120000011,11,47334,1,4084,0,0,3920
12,00120000012,11,28288,1,34683,0,0,2296
13,00120000013,24,168470,1,23379,0,0,1128
14,00120000014,21,27191,0,0,1,17373,4791
15,00120000015,4,33051,0,0,0,0,2264
16,00120000016,8,76715,1,19373,0,0,3992
17,00120000017,24,25737,0,0,1,6501,2834
18,00120000018,3,80140,0,0,1,4186,4390
19,00120000019,22,171323,1,9783,1,4381,1302
20,00120000020,21,197047,1,9695,0,0,1288
21,00120000021,2,20147,1,16357,0,0,4637
22,00120000022,24,65508,0,0,1,18773,2226
23,00120000023,12,67224,1,13653,1,14858,2399
24,00120000024,6,34643,0,0,0,0,2634
25,00120000025,2,53967,1,26798,1,14719,1840
26,00120000026,28,118535,1,27068,0,0,838
27,00120000027,21,55733,1,6019,0,0,3512
28,00120000028,1,49808,1,29673,0,0,3714
29,00120000029,12,73959,0,0,0,0,838
30,00120000030,26,147921,0,0,1,12382,986
31,00120000031,22,83178,1,11922,1,6936,1549
32,00120000032,12,127255,0,0,0,0,3631
33,00120000033,25,101322,0,0,0,0,3209
34,00120000034,17,59565,1,15769,0,0,1468
35,00120000035,27,166255,0,0,1,8826,3553
36,00120000036,27,16132,1,23075,0,0,2849
37,00120000037,10,184331,0,0,0,0,4346
38,00120000038,28,78668,1,14301,0,0,981
39,00120000039,28,184635,0,0,0,0,4041
40,00120000040,16,123835,1,30494,1,16309,1776
41,00120000041,15,157003,0,0,0,0,3154
42,00120000042,15,88169,0,0,0,0,3723
43,00120000043,19,196711,1,19591,0,0,2896
44,00120000044,12,115417,1,26351,0,0,2245
45,00120000045,23,16044,1,7655,0,0,2108
46,00120000046,20,192763,0,0,0,0,1179
47,00120000047,25,39363,1,27055,0,0,2655
48,00120000048,3,61694,0,0,1,5030,1355
49,00120000049,5,147654,1,30288,0,0,2022
50,00120000050,19,36301,1,6492,0,0,908
51,00120000051,7,89329,1,29920,1,4831,864
52,00120000052,21,16620,1,32541,0,0,4000
53,00120000053,9,77224,0,0,1,12868,3115
54,00120000054,7,110419,0,0,1,9599,2232
55,00120000055,18,183606,1,16304,0,0,2934
56,00120000056,4,135050,1,10512,0,0,4862
57,00120000057,25,185462,1,34363,0,0,4727
58,00120000058,28,70856,0,0,1,5173,4265
59,00120000059,14,195324,1,12774,1,6078,3297
60,00120000060,18,70809,0,0,0,0,3776
61,00120000061,26,37259,0,0,0,0,1540
62,00120000062,9,35655,1,14882,1,6970,1270
63,00120000063,26,179077,0,0,0,0,2465
64,00120000064,21,177701,1,31156,0,0,4515
65,00120000065,2,169682,1,34087,0,0,4790
66,00120000066,20,36602,1,12511,0,0,909
67,00120000067,28,100945,1,24699,1,17006,4680
68,00120000068,15,157182,1,25178,0,0,3062
69,00120000069,28,152145,1,21821,0,0,1759
70,00120000070,7,115846,1,20415,1,16624,2359
71,00120000071,12,95818,1,4714,0,0,1916
72,00120000072,8,156267,0,0,0,0,1480
73,00120000073,15,16537,0,0,0,0,1851
74,00120000074,3,163210,1,13231,1,17712,4573
75,00120000075,14,190400,1,20792,0,0,2750
76,00120000076,17,192274,1,19163,0,0,2728
77,00120000077,4,186236,0,0,1,15607,2867
78,00120000078,18,141545,0,0,0,0,4635
79,00120000079,8,104743,1,11346,0,0,2708
80,00120000080,4,101155,1,12038,0,0,2171
81,00120000081,2,195764,1,28124,0,0,4945
82,00120000082,6,135198,1,28048,1,11995,2914
83,00120000083,22,170917,0,0,1,6384,3760
84,00120000084,10,104846,0,0,1,7704,3970
85,00120000085,4,45562,1,25820,0,0,2792
86,00120000086,22,43036,1,12898,1,14254,4031
87,00120000087,18,89233,1,16031,0,0,4923
88,00120000088,26,98049,1,15215,1,12505,3313
89,00120000089,12,83681,0,0,0,0,2661
90,00120000090,2,42818,1,4782,1,3309,2021
91,00120000091,10,176616,1,9300,0,0,3113
92,00120000092,4,77532,1,22563,1,8121,1569
93,00120000093,14,72705,0,0,0,0,4362
94,00120000094,16,35104,0,0,0,0,2232
95,00120000095,15,139336,1,6406,1,12806,2757
96,00120000096,8,142904,1,17546,0,0,3104
97,00120000097,14,84603,1,23191,0,0,2159
98,00120000098,23,117499,0,0,0,0,2056
99,00120000099,28,74025,1,23148,0,0,872
100,00120000100,25,47317,1,6724,1,19901,1982
